FLIGHT,MAINTENANCE
00f1a7,8.911209766925639
01f0e6,8.911209766925639
027fcc,8.911209766925639
02c4ca,8.911209766925639
03ca50,8.911209766925639
046be8,8.911209766925639
056f84,8.911209766925639
06272f,8.911209766925639
06c0df,8.911209766925639
06f487,8.911209766925639
083535,8.911209766925639
085ef1,8.911209766925639
086e4a,8.911209766925639
09bf0c,8.911209766925639
0ac0a1,8.911209766925639
0aca37,8.911209766925639
0c6333,8.911209766925639
0d6c3a,8.911209766925639
0dbf94,8.911209766925639
0e61ca,8.911209766925639
0ea9e7,8.911209766925639
0ef2b2,8.911209766925639
0fb397,8.911209766925639
1083e6,8.911209766925639
11ff8b,8.911209766925639
12d014,8.911209766925639
1601ca,8.911209766925639
16b5e1,8.911209766925639
16e7f5,8.911209766925639
17d351,8.911209766925639
18850e,8.911209766925639
18b966,8.911209766925639
194084,8.911209766925639
196072,8.911209766925639
1a8136,8.911209766925639
1b110a,8.911209766925639
1c1cbe,8.911209766925639
1c8316,8.911209766925639
1caca2,8.911209766925639
1ce344,8.911209766925639
1ce6e1,8.911209766925639
1d1fea,8.911209766925639
1e2cdd,8.911209766925639
1ed821,8.911209766925639
1f5e43,8.911209766925639
1f9012,8.911209766925639
20a670,8.911209766925639
21a675,8.911209766925639
236d83,8.911209766925639
239fa4,8.911209766925639
252bb2,8.911209766925639
257cfb,8.911209766925639
26c186,8.911209766925639
2725a8,8.911209766925639
2756ed,8.911209766925639
27ca45,8.911209766925639
286842,8.911209766925639
288486,8.911209766925639
289097,8.911209766925639
28913a,8.911209766925639
289e60,8.911209766925639
28d12f,8.911209766925639
29d774,8.911209766925639
29f8a1,8.911209766925639
2cae3b,8.911209766925639
2d73d8,8.911209766925639
2d7e59,8.911209766925639
2db8f9,8.911209766925639
2dda7e,8.911209766925639
2df32a,8.911209766925639
2e8057,8.911209766925639
2f07c6,8.911209766925639
2f3541,8.911209766925639
2f8765,8.911209766925639
31bbb3,8.911209766925639
31c5ad,8.911209766925639
31d210,8.911209766925639
35489f,8.911209766925639
356cd8,8.911209766925639
35b1c8,8.911209766925639
35c7da,8.911209766925639
365531,8.911209766925639
368268,8.911209766925639
374bff,8.911209766925639
37753d,8.911209766925639
37c135,8.911209766925639
37e385,8.911209766925639
386503,8.911209766925639
38c49d,8.911209766925639
39a317,8.911209766925639
3a2399,8.911209766925639
3a2b53,8.911209766925639
3a837c,8.911209766925639
3a8ef1,8.911209766925639
3bcf65,8.911209766925639
3c6d7b,8.911209766925639
3c9f5c,8.911209766925639
3cbe5a,8.911209766925639
3d191d,8.911209766925639
3d3bc7,8.911209766925639
3e8f69,8.911209766925639
3ee480,8.911209766925639
3f05d0,8.911209766925639
40cc41,8.911209766925639
420cb8,8.911209766925639
4299c9,8.911209766925639
4393f5,8.911209766925639
